id,Tournament Name,Date,Placement,Start Placement,End Placement,Tier,Team,Opposing Team,Score,Opposing Score,Earnings
13abyKnight,Dota 2 Champions League Season 11,2017-03-24,5 - 8th,5.0,8.0,Minor,Cloud9,Cerberus,1,2,0
13abyKnight,WellPlay Invitational #7,2017-03-22,3rd,3.0,,Minor,Cloud9,Team Spirit,0,2,0
13abyKnight,ProDotA Cup Europe #15,2017-02-22,9 - 12th,9.0,12.0,Minor,Cloud9,Double Dimension,0,1,0
13abyKnight,OMEN Dota 2 Cup,2017-01-22,1st,1.0,,Minor,Cloud9,Prodota Gaming,2,1,2134
13abyKnight,World Electronic Sports Games 2016,2017-01-15,2nd,2.0,,Premier,Cloud9,TNC Pro Team,1,2,400000
13abyKnight,ProDotA Cup Europe #13,2017-01-05,3rd,3.0,,Minor,Cloud9,Rebels,0,2,500
13abyKnight,Royal Arena #2,2016-12-30,5 - 6th,5.0,6.0,Minor,Danish Bears,Alliance,1,2,0
13abyKnight,WellPlay Invitational #6,2016-12-19,3 - 4th,3.0,4.0,Minor,Danish Bears,Alliance,1,2,0
13abyKnight,WellPlay Invitational #5,2016-12-02,1st,1.0,,Minor,The Imperial,Horde,3,2,2500
13abyKnight,ProDotA Cup Europe #12,2016-11-30,1st,1.0,,Minor,The Imperial,Team Empire,3,0,3500
13abyKnight,DreamLeague Season 6,2016-11-25,4th,4.0,,Major,The Imperial,Escape Gaming,1,2,20000
13abyKnight,Dota 2 Champions League Season 9,2016-11-22,1st,1.0,,Minor,The Imperial,Rebels,3,0,2500
13abyKnight,Royal Arena #1,2016-11-20,1st,1.0,,Minor,The Imperial,Escape Gaming,3,0,3000
13abyKnight,DreamLeague Season 6 League Play,2016-11-08,3rd,3.0,,Major,The Imperial,,,,10000
13abyKnight,ProDotA Cup Europe #10,2016-10-21,2nd,2.0,,Minor,The Imperial,Prodota Gaming,1,3,1000
13abyKnight,WellPlay Invitational #4,2016-10-17,1st,1.0,,Minor,The Imperial,Kaipi,3,0,2500
13abyKnight,Elements Cup #2,2016-10-13,1st,1.0,,Minor,The Imperial,Prodota Gaming,3,0,12000
13abyKnight,Dota 2 Champions League Season 8,2016-10-11,3 - 4th,3.0,4.0,Minor,The Imperial,F.R.I.E.N.D.S.,0,2,500
13abyKnight,WESG 2016 Europe & CIS Finals,2016-10-09,1st,1.0,,Major,The Imperial,Horde,2,0,29970
13abyKnight,joinDOTA League Season 10 Europe,2016-09-19,1st,1.0,,Minor,The Imperial,Prodota Gaming,3,0,2000
13abyKnight,ProDotA Cup Europe #9,2016-08-24,9 - 12th,9.0,12.0,Minor,The Imperial,Power Rangers,0,1,0
13abyKnight,WellPlay Invitational #3,2016-08-18,1st,1.0,,Minor,The Imperial,Fantastic Five,3,0,2500
13abyKnight,Loot Market Invitational,2016-07-12,2nd,2.0,,Minor,The Imperial,Polarity,0,3,500
13abyKnight,ProDotA Cup Europe #8,2016-07-09,13 - 16th,13.0,16.0,Minor,The Imperial,BrooDMotherS,0,1,0
13abyKnight,ProDotA Cup Europe #7,2016-06-30,5 - 6th,5.0,6.0,Minor,The Imperial,Power Rangers,0,1,0
13abyKnight,WellPlay Invitational #2,2016-06-13,2nd,2.0,,Minor,Danish Bears,Kaipi,2,3,500
13abyKnight,DreamLeague Season 5 League Play,2016-04-21,8th,8.0,,Minor,London Conspiracy,,,,2000
13abyKnight,NoShang Invitational,2016-04-14,9 - 12th,9.0,12.0,Minor,London Conspiracy,Prodota Gaming,-,W,0
13abyKnight,BTS Europe #3,2016-04-04,9 - 16th,9.0,16.0,Minor,London Conspiracy,ALTERNATE aTTaX,1,2,0
13abyKnight,BTS Europe #2,2016-02-15,2nd,2.0,,Minor,London Conspiracy,Team Empire,0,3,3000
13abyKnight,Mount Hermon Charity Tournament,2016-01-02,1st,1.0,,Minor,London Conspiracy,PRIES,2,0,189
13abyKnight,D2CL Christmas Charity Magic,2015-12-08,5 - 8th,5.0,8.0,Major,London Conspiracy,HellRaisers,1,2,0
13abyKnight,PGL Dota 2 Pro-AM,2015-11-10,5 - 8th,5.0,8.0,Major,London Conspiracy,Walrus Punch! (team),1,2,1000
13abyKnight,PGL Dota 2 Pro-AM Qualifier #1,2015-09-21,5 - 8th,5.0,8.0,Minor,Princess Jellopy,Team Bad English,0,2,0
13abyKnight,Yard G2A Fest Ep.1,2015-05-20,9 - 16th,9.0,16.0,Minor,Flipsid3 Tactics,ScaryFaceZ,0,2,0
13abyKnight,MSI Dragon Battle #4,2015-04-08,3 - 4th,3.0,4.0,Monthly,Flipsid3 Tactics,ScaryFaceZ,0,1,0
13abyKnight,EIZO Cup #15,2015-03-19,3 - 4th,3.0,4.0,Monthly,Flipsid3 Tactics,Immortal Mode On,0,1,0
13abyKnight,Hitbox EU Championship,2015-03-14,5 - 8th,5.0,8.0,Minor,Flipsid3 Tactics,Moscow Five,1,2,0
13abyKnight,Iron Trophy Europe,2015-03-02,1st,1.0,,Minor,Lianghao,Moscow Five,3,1,2000
13abyKnight,joinDOTA Masters XVI,2015-02-26,5 - 8th,5.0,8.0,Minor,Lianghao,Ninjas in Pyjamas,0,2,0
13abyKnight,MSI Dragon Battle #1,2015-02-01,3 - 4th,3.0,4.0,Monthly,Lianghao,Hehe united,0,1,0
13abyKnight,GG League Season 2,2014-12-08,2nd,2.0,,Minor,Lianghao,Vega Squadron,0,3,500
1437,ProDotA Cup Southeast Asia #12,2018-06-07,2nd,2.0,,Minor,TNC Tigers,Clutch Gamers,1,3,500
1437,ESL One Genting 2018,2018-01-25,9 - 12th,9.0,12.0,Major,TNC Pro Team,Evil Geniuses,0,2,4000
1437,Galaxy Battles II: Emerging Worlds,2018-01-21,5 - 6th,5.0,6.0,Major,TNC Pro Team,OG,0,1,35000
1437,MDL Macau,2017-12-10,2nd,2.0,,Major,TNC Pro Team,OG,0,2,65000
1437,China Top 2017,2017-11-23,1st,1.0,,Major,TNC Pro Team,VGJ.Thunder,2,1,151935
1437,The International 2017,2017-08-09,9 - 12th,9.0,12.0,Premier,TNC Pro Team,OG,0,2,370319
1437,Galaxy Battles,2017-06-17,3rd,3.0,,Premier,TNC Pro Team,Planet Odd,1,2,18000
1437,StarLadder i-League Invitational Season 2,2017-05-21,2nd,2.0,,Premier,TNC Pro Team,Team Liquid,2,3,20000
1437,Dota 2 Asia Championships 2017,2017-04-01,9 - 12th,9.0,12.0,Premier,Team NP,Team VGJ,0,1,9179
1437,ESL One Genting 2017,2017-01-07,5 - 6th,5.0,6.0,Premier,Team NP,Virtus.pro,0,2,10000
1437,The Boston Major 2016,2016-12-09,5 - 8th,5.0,8.0,Premier,Team NP,Digital Chaos,0,2,125000
1437,Elimination Mode 2.0,2016-11-23,3rd,3.0,,Minor,Team NP,OG,0,2,2000
1437,The Summit 6,2016-11-19,5 - 6th,5.0,6.0,Premier,Team NP,Evil Geniuses,0,2,3500
1437,Northern Arena BEAT Invitational,2016-11-13,2nd,2.0,,Premier,Team NP,Wings Gaming,0,2,20000
1437,DreamLeague Season 6 League Play,2016-11-08,8th,8.0,,Major,Team NP,,,,0
1437,BTS Americas #4,2016-03-24,5 - 8th,5.0,8.0,Minor,Digital Chaos,Team Freedom,-,W,0
1437,Captains Draft 3.0,2016-02-13,7 - 8th,7.0,8.0,Major,Digital Chaos,Team Liquid,1,2,4345
1437,BTS Americas #3,2016-02-09,1st,1.0,,Minor,Digital Chaos,Team Archon,3,1,5000
1437,World Cyber Arena 2015,2015-12-17,13 - 16th,13.0,16.0,Premier,Digital Chaos,,,,0
1437,The Summit 4,2015-12-11,7 - 8th,7.0,8.0,Premier,Digital Chaos,Virtus.pro,0,2,2872
1437,The Frankfurt Major 2015,2015-11-16,13 - 16th,13.0,16.0,Premier,Cloud9,Alliance,0,1,30000
1437,MLG World Finals,2015-10-17,7 - 8th,7.0,8.0,Premier,Cloud9,MVP Phoenix,0,2,5699
1437,BTS Americas #2,2015-09-23,1st,1.0,,Minor,Cloud9,Team Leviathan,3,2,5000
1437,The International 2014,2014-07-12,15 - 16th,15.0,16.0,Premier,Natus Vincere North America,,,,0
1437,The Summit,2014-06-07,5 - 6th,5.0,6.0,Premier,Natus Vincere North America,Natus Vincere,1,2,3309
1437,American Dota League Season 2,2014-06-01,3 - 4th,3.0,4.0,Major,Natus Vincere North America,Mousesports,0,2,1000
1437,Netolic Pro League #4 West: Second Cup,2013-11-11,5 - 8th,5.0,8.0,Minor,Team Dignitas,Sigma.int,0,2,0
1437,Dota 2 Champions League Season 1,2013-11-09,7 - 10th,7.0,10.0,Premier,Team Dignitas,,,,0
1437,Fragbite Masters,2013-10-24,17 - 32nd,17.0,32.0,Major,Team Dignitas,,,,0
1437,Netolic Pro League #4 West: First Cup,2013-10-20,5 - 8th,5.0,8.0,Minor,Team Dignitas,Speed Gaming/Speed Gaming.int,0,2,0
1437,MLG Fall Invitational,2013-10-18,1st,1.0,,Major,Team Dignitas,Pretty Boy Swag,2,1,10000
1437,WePlay Dota2 League Season 2,2013-09-22,9 - 20th,9.0,20.0,Premier,Team Dignitas,,,,0
1437,The International 2013,2013-08-07,9 - 12th,9.0,12.0,Premier,LGD International,Fnatic,0,1,0
1437,RedBull ECL 2013 Dota 2 Season,2013-07-12,9 - 12th,9.0,12.0,Premier,LGD International,,,,0
1437,Alienware Cup 2013 - Season 1,2013-07-04,7 - 8th,7.0,8.0,Premier,LGD International,TongFu,1,2,1500
1437,Dota 2 Super League,2013-06-22,5th,5.0,,Premier,LGD International,Orange Esports/Orange Esports,1,2,3261
1437,G-League Season 2,2013-03-09,2nd,2.0,,Premier,LGD International,Invictus Gaming,1,3,8045
1437,GEST Challenge 2012,2012-12-06,1st,1.0,,Minor,LGD International,LGD Gaming,3,2,1500
1437,RaidCall Dota 2 League Season 1,2012-10-30,5 - 8th,5.0,8.0,Premier,Quantic Gaming,,,,0
1437,The International 2012,2012-08-31,13 - 16th,13.0,16.0,Premier,Mousesports,EHOME,0,1,0
1437,BeyondTheSummit World Tour,2012-08-21,5 - 8th,5.0,8.0,Minor,Mousesports,EHOME,0,2,0
1437,The Defense Season 2,2012-08-12,2nd,2.0,,Premier,Mousesports,CompLexity Gaming,1,3,3073
1437,Prodota 2 Worldwide League,2012-08-05,3rd,3.0,,Premier,Mousesports,Counter Logic Gaming,0,1,4000
1437,The Premier League Masters,2012-07-29,3rd,3.0,,Minor,Mousesports,Natus Vincere,0,2,0
1437,StarLadder StarSeries Season 2,2012-07-15,2nd,2.0,,Premier,Mousesports,Natus Vincere,0,3,3000
1437,The Premier League Season 2,2012-07-08,4th,4.0,,Premier,Mousesports,,,,0
1437,joinDOTA Masters X,2012-07-07,3 - 4th,3.0,4.0,Weekly,Mousesports,Moscow Five,0,1,0
1437,DreamHack Summer 2012,2012-06-18,3 - 4th,3.0,4.0,Premier,Mousesports,Mortal Teamwork,1,2,3597
1437,The Defense Season 1,2012-01-08,13 - 24th,13.0,24.0,Premier,It's Gosu eSports,,,,0
1437,The International 2011,2011-08-19,7 - 8th,7.0,8.0,Premier,Online Kingdom,Moscow Five,0,1,25000
290,OverPower Cup China #1,2018-01-19,5 - 6th,5.0,6.0,Minor,PiPiXia,Rock Gaming,0,2,0
290,ProDotA Cup China #2,2017-12-27,7 - 8th,7.0,8.0,Minor,PiPiXia,EHOME,0,2,0
290,Niu League 2017 Season 2,2017-05-10,7 - 8th,7.0,8.0,Minor,RUSH B,Newbee Young,1,2,250
290,Dota2 Professional League Season 3  (2017 S1) - Secondary,2017-04-20,9 - 10th,9.0,10.0,Minor,RUSH B,,,,0
290,Dota2 ACE - Provisional,2016-12-26,13 - 16th,13.0,16.0,Major,Newbee Young,EHOME.Keen,0,2,0
290,Dota2 Professional League Season 2 - Secondary,2016-12-13,3rd,3.0,,Major,Newbee Young,,,,10000
290,Shanghai Dota 2 Open #2,2016-09-29,9 - 12th,9.0,12.0,Major,Newbee Young,,,,0
290,MPGL Southeast Asian Championship,2016-09-09,9 - 10th,9.0,10.0,Major,White Fries Gaming,Signature.Trust,0,1,500
290,H-Cup Season 7,2016-06-16,13 - 18th,13.0,18.0,Weekly,White Fries Gaming,,,,0
290,Shanghai Dota 2 Open Qualifier,2015-12-29,12th,12.0,,Minor,Thunderobot Gaming,,,,0
290,ECL 2015 Dota 2 Autumn,2015-12-05,6 - 16th,6.0,16.0,Major,Thunderobot Gaming,,,,0
290,World Cyber Arena 2015 - Chinese Pro Qualifiers,2015-05-22,9 - 16th,9.0,16.0,Major,Team DK/Team DK,,,,3193
290,MarsTV Dota 2 League 2015 Spring - Chinese League,2015-05-18,7 - 8th,7.0,8.0,Major,Team DK/Team DK,,,,0
290,ECL 2015 Dota 2 Spring,2015-04-18,9 - 16th,9.0,16.0,Major,Team DK/Team DK,,,,0
290,V Games Tournament,2014-06-25,9 - 12th,9.0,12.0,Major,Orenda,,,,160
290,WVW National Electronic Sports Classic April,2014-05-01,5 - 8th,5.0,8.0,Major,Orenda,TongFu.WanZhou,1,2,240
2hoi,Indonesia Games Championship 2018,2018-04-22,3rd,3.0,,Minor,XCN Gaming,BOOM ID,0,1,1801
2hoi,joinDOTA League Season 11 Asia,2017-11-30,6th,6.0,,Minor,Rex Regum Qeon,,,,0
2hoi,ProDotA Cup Southeast Asia #10,2017-09-25,7 - 8th,7.0,8.0,Minor,EVOS Esports,BOOM ID,0,2,0
2hoi,Indonesia Pride Gaming League Round Robin,2017-09-19,2nd,2.0,,Minor,EVOS Esports,,,,1583
2hoi,ProDotA Cup Southeast Asia #9,2017-08-31,2nd,2.0,,Minor,EVOS Esports,Lorem Ipsum,1,3,500
2hoi,Indonesia Games Championship 2017,2017-04-23,2nd,2.0,,Minor,EVOS Esports,BOOM ID,0,2,3750
2hoi,Infinite Sky League,2017-04-09,5 - 8th,5.0,8.0,Minor,EVOS Esports,,,,1000
2hoi,ProDotA Cup Southeast Asia #6,2017-03-29,3rd,3.0,,Minor,EVOS Esports,HappyFeet,1,2,500
2hoi,ProDota Cup Southeast Asia #5,2017-02-25,5 - 6th,5.0,6.0,Minor,EVOS Esports,Clutch Gamers,1,2,0
2hoi,ProDota Cup Southeast Asia #4,2017-01-23,4th,4.0,,Minor,EVOS Esports,HappyFeet,1,2,0
33,China Dota2 Supermajor,2018-06-09,5 - 6th,5.0,6.0,Premier,OpTic Gaming,Virtus.pro,0,2,90000
33,ESL One Birmingham 2018,2018-05-27,2nd,2.0,,Premier,OpTic Gaming,Virtus.pro,0,3,200000
33,World Cyber Arena 2017,2018-04-30,3rd,3.0,,Minor,Planet Dog,FATE eSports,2,1,7895
33,StarLadder ImbaTV Invitational Season 5,2018-04-15,1st,1.0,,Major,OpTic Gaming,VGJ.Thunder,3,1,135000
33,Dota 2 Asia Championships 2018,2018-04-05,7 - 8th,7.0,8.0,Premier,OpTic Gaming,TNC Predator,0,1,35000
33,The Bucharest Major,2018-03-11,5 - 8th,5.0,8.0,Premier,OpTic Gaming,Virtus.pro,0,2,30000
33,ESL One Katowice 2018,2018-02-21,9 - 12th,9.0,12.0,Premier,OpTic Gaming,Team Liquid,0,2,10000
33,MID.TV Challenge Cup,2018-01-17,4th,4.0,,Minor,Planet Dog,Team Empire,0,2,0
33,World Cyber Arena 2017 Europe Finals,2017-10-09,1st,1.0,,Minor,HellRaisers,Team Empire,3,2,30178
33,The International 2017,2017-08-05,17 - 18th,17.0,18.0,Premier,HellRaisers,,,,61720
33,ProDotA Cup Europe #19,2017-06-30,3rd,3.0,,Minor,Planet Dog,Danish Bears,-,W,500
33,WellPlay Invitational #8,2017-06-13,3rd,3.0,,Minor,Prodota Gaming,PENTA Sports,0,2,0
33,Mr. Cat Invitational Europe,2017-05-17,4th,4.0,,Major,Prodota Gaming,Virtus.pro,1,2,5000
33,ProDotA Cup Europe #18,2017-05-12,9 - 12th,9.0,12.0,Minor,Digital Company,PENTA Sports,0,1,0
33,ProDotA Cup Europe #17,2017-04-26,1st,1.0,,Minor,Prodota Gaming,Let's Do It,3,2,2000
33,StarLadder ProSeries Season 18,2017-04-06,1st,1.0,,Minor,Prodota Gaming,Cascade,2,0,1500
33,ProDotA Cup Europe #16,2017-03-29,2nd,2.0,,Minor,No Logic Gaming,F.R.I.E.N.D.S.,2,3,1000
33,Dota 2 Champions League Season 11,2017-03-20,9 - 16th,9.0,16.0,Minor,No Logic Gaming,ZOKEN GAMING,0,1,0
33,ProDotA Cup Europe #15,2017-03-05,1st,1.0,,Minor,Horde,No Logic Gaming,3,0,2000
33,Dota 2 Champions League Season 10,2017-02-19,2nd,2.0,,Minor,Horde,F.R.I.E.N.D.S.,0,2,1500
33,World Cyber Arena 2016,2016-12-15,4th,4.0,,Premier,Prodota Gaming,We Are Young,0,2,28744
33,WellPlay Invitational #5,2016-11-30,4th,4.0,,Minor,Prodota Gaming,F.R.I.E.N.D.S.,0,2,0
33,Royal Arena #1,2016-11-19,5 - 6th,5.0,6.0,Minor,Prodota Gaming,F.R.I.E.N.D.S.,0,1,0
33,ProDotA Cup Europe #12,2016-11-19,5 - 6th,5.0,6.0,Minor,Prodota Gaming,ALTERNATE aTTaX,0,1,0
33,Treasure Arena #1,2016-11-15,3 - 4th,3.0,4.0,Minor,Prodota Gaming,Rebels,1,2,0
33,ProDotA Cup Europe #12,2016-11-11,13 - 16th,13.0,16.0,Minor,Kaipi,Tarantula,-,W,0
33,Elimination Mode 2.0,2016-11-06,5 - 6th,5.0,6.0,Minor,Kaipi,Digital Chaos,0,2,0
33,ProDotA Cup Europe #11,2016-10-21,9 - 12th,9.0,12.0,Minor,Kaipi,Team Empire,0,1,0
33,WellPlay Invitational #4,2016-10-17,2nd,2.0,,Minor,Kaipi,The Imperial,0,3,500
33,Dota 2 Champions League Season 8,2016-09-29,5 - 8th,5.0,8.0,Minor,Kaipi,The Imperial,0,2,0
33,BTS Europe #4,2016-09-22,13 - 16th,13.0,16.0,Minor,Kaipi,,,,0
33,Game On Invitational #3,2016-09-22,9 - 16th,9.0,16.0,Minor,Kaipi,Valkyrie eSports,0,2,0
33,ProDotA Cup Europe #10,2016-09-21,9 - 12th,9.0,12.0,Minor,Kaipi,Sanguine Sharks,0,1,0
33,ProDotA Cup Europe #9,2016-09-02,2nd,2.0,,Minor,Kaipi,Prodota Gaming,2,3,1000
33,WCA2016 EU Main Qualifier,2016-09-01,1st,1.0,,Major,Kaipi,Vega Squadron,3,2,27140
33,WellPlay Invitational #3,2016-08-17,3rd,3.0,,Minor,Kaipi,Fantastic Five,1,2,0
33,NoShang Invitational,2016-07-07,3rd,3.0,,Minor,Kaipi,Power Rangers,1,2,1000
33,WellPlay Invitational #2,2016-06-13,1st,1.0,,Minor,Kaipi,Danish Bears,3,2,2500
33,WellPlay Invitational #2,2016-06-09,4th,4.0,,Minor,Prodota Gaming,Polarity,0,2,0
33,Game On Invitational #2,2016-05-25,2nd,2.0,,Minor,Prodota Gaming,Flipsid3 Tactics,0,2,500
33,ProDotA Cup Europe #3,2016-02-21,4th,4.0,,Minor,Burden United,Ad Finem,1,2,0
33,BTS Europe #2,2016-02-13,5 - 8th,5.0,8.0,Minor,Burden United,Team Empire,0,2,0
33,Uprise Champions Cup Europe,2016-02-13,3rd,3.0,,Minor,No Logic Gaming,ALTERNATE aTTaX,0,2,1500
33,Rumble Town,2016-02-12,5 - 8th,5.0,8.0,Minor,Burden United,Ad Finem,0,2,0
33,GameOn Invitational,2016-02-08,5 - 8th,5.0,8.0,Minor,Burden United,ALTERNATE aTTaX,0,2,0
33,BTS Europe #1,2015-12-28,3 - 4th,3.0,4.0,Minor,No Logic Gaming,Fantastic Five,0,2,1000
33,Hitbox Elite Cup,2015-12-26,5 - 6th,5.0,6.0,Minor,No Logic Gaming,ALTERNATE aTTaX,1,2,0
33,ProDotA Cup Europe #1,2015-12-19,5 - 8th,5.0,8.0,Minor,No Logic Gaming,Fantastic Five,0,2,0
33,The Impress Dad Andy 500,2015-07-05,3 - 4th,3.0,4.0,Weekly,Hehe united,Maksalaatikko,0,1,0
33,StarLadder ProSeries Season 12,2015-05-28,5 - 6th,5.0,6.0,Minor,Hehe united,PUB PLAYERS,1,2,0
33,Esportal Dota 2 League Open Tournament 4,2015-05-24,5 - 8th,5.0,8.0,Minor,Hehe united,Dota AllStars,0,2,109
33,Yard G2A Fest Ep.1,2015-05-20,9 - 16th,9.0,16.0,Minor,Hehe united,Balkan Bears,1,2,0
33,Pretty Pudge's Pokaljakt,2015-04-24,1st,1.0,,Minor,Fabulous 5,Fiskestanga,2,1,5140
33,GIGABYTE Challenge #14,2015-04-17,9 - 16th,9.0,16.0,Monthly,4 Bunnies 1 Turtle,Vega Squadron,0,1,0
33,MSI Dragon Battle #4,2015-04-08,3 - 4th,3.0,4.0,Monthly,Hehe united,Basically Unknown,0,1,0
33,MSI Dragon Battle #3,2015-03-15,1st,1.0,,Monthly,Hehe united,HellRaisers,2,0,1575
33,MSI Dragon Battle #2,2015-03-01,5 - 8th,5.0,8.0,Monthly,Hehe united,London Conspiracy,0,1,0
4dr,ESL Brazil Premier League,2018-06-11,1st,1.0,,Minor,SG e-sports,NoPing e-sports,2,1,2713
4dr,GESC: Thailand Dota2 Minor,2018-05-12,7th,7.0,,Major,SG e-sports,,,,10000
4dr,StarLadder ImbaTV Invitational Season 5,2018-04-15,7 - 8th,7.0,8.0,Major,SG e-sports,Natus Vincere,0,2,7500
4dr,World Electronic Sports Games 2017,2018-03-17,5 - 8th,5.0,8.0,Premier,SG e-sports,Russia,0,2,25000
4dr,WESG 2017 South America Finals,2018-02-04,2nd,2.0,,Minor,SG e-sports,PaiN Gaming,0,2,15000
4dr,ESL One Genting 2018,2018-01-23,13 - 16th,13.0,16.0,Major,SG e-sports,Vici Gaming,1,2,2000
4dr,Perfect World Masters,2017-11-20,9 - 10th,9.0,10.0,Major,SG e-sports,,,,3000
4dr,AMD SAPPHIRE Dota PIT League,2017-11-04,5 - 6th,5.0,6.0,Major,SG e-sports,Virtus.pro,0,1,15000
4dr,ESL One Hamburg 2017,2017-10-28,7 - 8th,7.0,8.0,Premier,SG e-sports,Keen Gaming,1,2,20000
4dr,StarLadder i-League Invitational Season 3,2017-10-14,5 - 6th,5.0,6.0,Major,SG e-sports,Mineski,0,2,15000
4dr,Pichau Masters 2017,2017-10-08,1st,1.0,,Minor,SG e-sports,T Show,3,0,3168
4dr,Experience League,2017-10-04,7 - 8th,7.0,8.0,Minor,SG e-sports,Dota Raiz,-,W,0
4dr,The Final Match Season 1,2017-07-09,2nd,2.0,,Major,SG e-sports,Alliance,1,3,11250
4dr,DreamLeague Season 7 NA Division,2017-05-31,4th,4.0,,Major,SG e-sports,,,,1000
4dr,The Kiev Major 2017,2017-04-29,5 - 8th,5.0,8.0,Premier,SG e-sports,Evil Geniuses,1,2,125000
4dr,Brasil Game Cup 2017 Rio,2017-04-08,1st,1.0,,Minor,SG e-sports,Midas Club Elite,3,0,956
4dr,World Electronic Sports Games 2016,2017-01-14,5 - 8th,5.0,8.0,Premier,SG e-sports,Alliance,0,2,10000
4dr,ProDotA Cup Americas #8,2016-12-30,3rd,3.0,,Minor,SG e-sports,Infamous,1,2,500
4dr,WESG 2016 Americas Finals,2016-10-23,2nd,2.0,,Major,Kingao+4,Infamous,1,2,18000
4dr,Brasil Game Cup 2016,2016-09-05,1st,1.0,,Minor,PaiN Gaming,T Show,3,0,12191
4dr,joinDOTA League Season 10 America,2016-08-30,2nd,2.0,,Minor,PaiN Gaming,Infamous,0,3,1000
4dr,ProDotA Cup Americas #6,2016-07-22,4th,4.0,,Minor,PaiN Gaming,Infamous,1,2,0
4dr,Xtreme League #2,2016-06-26,2nd,2.0,,Minor,PaiN Gaming,T Show,1,3,6085
4dr,KOD League Season III,2016-06-18,13 - 16th,13.0,16.0,Minor,PaiN Gaming,Vultur,-,W,0
4dr,Copa de Abertura LBEE,2016-05-29,4th,4.0,,Minor,PaiN Gaming,G3nerationX,0,2,292
4dr,ProDotA Cup Americas #5,2016-05-24,5 - 6th,5.0,6.0,Minor,PaiN Gaming,Team Freedom,0,2,0
4dr,Sudamerican Master 4,2016-05-15,4th,4.0,,Minor,PaiN Gaming,Elite Wolves,-,W,0
4dr,BTS Americas #4,2016-03-25,5 - 8th,5.0,8.0,Minor,PaiN Gaming,Infamous,0,2,0
4dr,ProDotA Cup Americas #4,2016-03-14,9 - 10th,9.0,10.0,Minor,PaiN Gaming,,,,0
4dr,BTS Americas #3,2016-02-05,5 - 8th,5.0,8.0,Minor,PaiN Gaming,Team Archon,0,2,0
4dr,ProDotA Cup Americas #1,2015-12-20,9 - 16th,9.0,16.0,Minor,PaiN Gaming,Slayers of Gods,1,2,0
4dr,Dota 2 Canada Cup - Season 6,2015-12-03,9 - 16th,9.0,16.0,Major,PaiN Gaming,,,,0
4dr,Brasil Game Cup 2015,2015-10-12,1st,1.0,,Minor,PaiN Gaming,T Show,3,0,10304
4dr,Xtreme League #1,2015-09-20,1st,1.0,,Minor,PaiN Gaming,T Show,2,0,507
4dr,BTS Americas #2,2015-09-17,9 - 16th,9.0,16.0,Minor,PaiN Gaming,Void Boys,0,2,0
4dr,Sudamerican Master 3,2015-09-13,13 - 16th,13.0,16.0,Minor,PaiN Gaming,Kawaii Desu Nee,-,W,0
